TEMPERATURA;PVC;XLPE
10;1,22;1,15
15;1,17;1,12
25;1,12;1,08
30;1;1
35;0,94;0,96
40;0,87;0,91
45;0,79;0,87
50;0,71;0,82
55;0,61;0,76
60;0,5;0,71
65;0;0,65
70;0;0,58
75;0;0,5
80;0;0,41
